id,nombre_cargo
1,Ejecutivo de atencion y ventas
2,Especialista de atencion y ventas
3,Jefe de atencion y ventas
4,Jefe comercial de atencion y venta
5,Cajero y Bodeguero
6,Back office
7,Asesores comerciales
8,Jefe comercial de atencion y venta
9,Promotor de ventas
10,Promotor de cobertura
11,Promotr mixto
12,Promotor puerta a puerta
13,Coordinador nacional
14,Coordinar regional
15,Analista de trade marketing
16,Supervisor de ventas
17,Bodeguero
18,Analista de recrutamiento y seleccion
19,Analista de Talento Humano
20,Ejecutiva de control de calidad
21,Analista laboral y administrativo
22,Formadores
23,Analista de administraci[on de ventas
24,Analista de desarrollo organizacional
25,Analista de tecnologias de la informacion
26,Analista de inteligenia de negocios
27,Pasantes
28,Gerente general
