TARIFA_BASICA_ACTUAL;Codigo_Actual;TARIFA_BASICA_ANTERIOR;Codigo_Anterior;full iron;15
$11,42;0;$0,00;-1;full gold;25
$14,28;1;$6,00;-1;full dimond;35
$15,00;2;$8,00;-1;;
$17,85;2;$9,99;0;;
$21,42;3;$10,54;0;;
$25,00;4;$11,42;0;;
$26,78;4;$11,99;0;;
$32,13;5;$12,99;1;;
$50,00;6;$13,79;1;;
$51,78;6;$14,28;1;;
;;$15,00;2;;
;;$16,99;2;;
;;$17,03;2;;
;;$17,85;2;;
;;$19,99;3;;
;;$20,00;3;;
;;$20,28;3;;
;;$21,42;3;;
;;$24,99;4;;
;;$25,00;4;;
;;$25,15;4;;
;;$26,78;4;;
;;$29,99;5;;
;;$30,02;5;;
;;$35,00;5;;
;;$49,99;6;;
