Centro Costo,Nombre Centro Costo,Tienda,CUENTA
6001,Tienda Cuenca Centro,CUENCA CENTRO,MOVISTAR
6002,Tienda Cuenca Remigio,CUENCA REMIGIO,MOVISTAR
6003,Tienda America,AMERICA,MOVISTAR
6004,Tienda Condado ,CONDADO,MOVISTAR
6005,Tienda Recreo,RECREO,MOVISTAR
6007,Tienda Machala,MACHALA,MOVISTAR
6008,Equifax,EQUIFAX,EQUIFAX
6009,Retail,RETAIL,MOVISTAR
6010,DirecTV,DirecTV,DirecTV
6011,Contact Center,Estructura, Estructura
6012,Movistar Pymes,MOVISTAR PYMES,MOVISTAR
6013,Payjoy Ecuador,PAYJOY,PAYJOY
6014,Softys,SOFTYS,SOFTYS
6015,Mabe,MABE,MABE
6016,Epson,EPSON,EPSON
6018,Tuenti,TUENTI,TUENTI
6019,Mabe,MABE,MABE
6021,Scala,SCALA,MOVISTAR
7001,Administracion,Administracion,Administracion
1001,General tiendas,Estructura,Estructura
